"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US13027","Brooks County, Georgia","107800","16981"
"0500000US13029","Bryan County, Georgia","223900","9254"
"0500000US13031","Bulloch County, Georgia","140700","6364"
"0500000US13033","Burke County, Georgia","88700","7994"
"0500000US13035","Butts County, Georgia","132600","12356"
"0500000US13037","Calhoun County, Georgia","51500","11290"
"0500000US13039","Camden County, Georgia","165700","7784"
"0500000US13043","Candler County, Georgia","96100","12599"
"0500000US13045","Carroll County, Georgia","137800","5272"
"0500000US13047","Catoosa County, Georgia","144300","4293"
"0500000US13049","Charlton County, Georgia","83300","6074"
"0500000US13051","Chatham County, Georgia","194500","5081"
"0500000US13053","Chattahoochee County, Georgia","71300","28898"
"0500000US13055","Chattooga County, Georgia","72200","5150"
"0500000US13057","Cherokee County, Georgia","253500","4283"
"0500000US13059","Clarke County, Georgia","170700","3398"
"0500000US13061","Clay County, Georgia","71400","18340"
"0500000US13063","Clayton County, Georgia","108500","2926"
"0500000US13065","Clinch County, Georgia","61000","9804"
"0500000US13067","Cobb County, Georgia","253900","3116"
"0500000US13069","Coffee County, Georgia","100600","8644"
"0500000US13071","Colquitt County, Georgia","85600","5442"
"0500000US13073","Columbia County, Georgia","203400","5744"
"0500000US13075","Cook County, Georgia","87500","5284"
"0500000US13077","Coweta County, Georgia","211600","5024"
"0500000US13079","Crawford County, Georgia","93400","15225"
"0500000US13081","Crisp County, Georgia","83100","4798"
"0500000US13083","Dade County, Georgia","123500","11072"
"0500000US13085","Dawson County, Georgia","230300","13429"
"0500000US13087","Decatur County, Georgia","110900","13074"
"0500000US13089","DeKalb County, Georgia","215600","3620"
"0500000US13091","Dodge County, Georgia","76300","8215"
"0500000US13093","Dooly County, Georgia","83300","5092"
"0500000US13095","Dougherty County, Georgia","103500","4307"
"0500000US13097","Douglas County, Georgia","161600","3049"
"0500000US13099","Early County, Georgia","86900","6919"
"0500000US13101","Echols County, Georgia","59100","11954"
"0500000US13103","Effingham County, Georgia","163600","4364"
"0500000US13105","Elbert County, Georgia","84700","5156"
"0500000US13107","Emanuel County, Georgia","73100","6851"
"0500000US13109","Evans County, Georgia","87900","6277"
"0500000US13111","Fannin County, Georgia","197800","10263"
"0500000US13113","Fayette County, Georgia","281400","5560"
"0500000US13115","Floyd County, Georgia","132400","6102"
"0500000US13117","Forsyth County, Georgia","339700","3578"
"0500000US13119","Franklin County, Georgia","108700","7543"
