metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
17420,"Cleveland, TN",122563.0,691,Metropolitan Statistical Area,Black,11.0,9.0,2.0,False,No results,
17420,"Cleveland, TN",122563.0,691,Metropolitan Statistical Area,Latino,30.0,27.0,3.0,False,No results,
17420,"Cleveland, TN",122563.0,691,Metropolitan Statistical Area,Native American,1.0,1.0,0.0,False,No results,
17420,"Cleveland, TN",122563.0,691,Metropolitan Statistical Area,AAPI,11.0,9.0,2.0,False,No results,
48864,"Wilmington, DE-MD-NJ",721707.0,5103,Metropolitan Division,Black,553.0,494.0,59.0,True,Statistically significant disparity,2.2
48864,"Wilmington, DE-MD-NJ",721707.0,5103,Metropolitan Division,Latino,264.0,242.0,22.0,False,Not statistically significant,1.4
48864,"Wilmington, DE-MD-NJ",721707.0,5103,Metropolitan Division,Native American,17.0,16.0,1.0,False,Not statistically significant,0.6
48864,"Wilmington, DE-MD-NJ",721707.0,5103,Metropolitan Division,AAPI,455.0,417.0,38.0,True,Statistically significant disparity,1.8
20100,"Dover, DE",176699.0,893,Metropolitan Statistical Area,Black,169.0,154.0,15.0,False,No results,
20100,"Dover, DE",176699.0,893,Metropolitan Statistical Area,Latino,22.0,19.0,3.0,False,No results,
20100,"Dover, DE",176699.0,893,Metropolitan Statistical Area,Native American,3.0,3.0,0.0,False,No results,
20100,"Dover, DE",176699.0,893,Metropolitan Statistical Area,AAPI,44.0,37.0,7.0,False,No results,
41540,"Salisbury, MD-DE",404417.0,3347,Metropolitan Statistical Area,Black,113.0,97.0,16.0,False,No results,
41540,"Salisbury, MD-DE",404417.0,3347,Metropolitan Statistical Area,Latino,96.0,86.0,10.0,False,No results,
41540,"Salisbury, MD-DE",404417.0,3347,Metropolitan Statistical Area,Native American,7.0,6.0,1.0,False,No results,
41540,"Salisbury, MD-DE",404417.0,3347,Metropolitan Statistical Area,AAPI,74.0,64.0,10.0,False,No results,
33980,"Morehead City, NC",69070.0,600,Micropolitan Statistical Area,Black,3.0,3.0,0.0,False,No results,
33980,"Morehead City, NC",69070.0,600,Micropolitan Statistical Area,Latino,9.0,9.0,0.0,False,No results,
